Remove grammatical mistakes: Some feel that in these tough economical times, it is wiser to splurge the money on restructuring the economy or providing more incentives to instill entrepreneurship, rather than investing in research in engineering design.	Some feel that in these tough economic times, it is wiser to spend the money on restructuring the economy or providing more incentives to encourage entrepreneurship rather than investing in research in engineering design.
Fix grammaticality of the sentence: Secondly, the amount of creative people in Singapore is small, which may be a major reason for the hampering of innovative engineering design.	Secondly, the number of creative people in Singapore is small, which may be a major reason for the hampering of innovative engineering design.
Fix grammatical errors: The population of Singapore is scarce compared to other countries in the region.	The population of Singapore is small compared to other countries in the region.
Grammar improvements: The impact on having a limited amount of creative people has resulted in Singapore having to resort to buying foreign-based engineering design equipment from overseas.	The impact of having a limited number of creative people has resulted in Singapore having to resort to buying foreign-based engineering design equipment from overseas.
Improve the grammar of this text: However, the 3 M researchers found out this failed bonding agent was suitable for attaching notes which satisfy many people's needs.	However, the 3 M researchers found that this failed bonding agent was suitable for attaching notes which satisfied many people's needs.
Fix grammar in the sentence: Thus post-it note was invented from this idea.	Thus the post-it note was invented from this idea.
Make the sentence fluent: In this manner, many other serendipitous technologies have been discovered and solved many irrelevant problems.	In this manner, many other serendipitous technologies have been discovered and have solved many problems.
Remove grammar mistakes: Thus, it is fair to say that either conventional technology or serendipitous technology is stimulated by the realization of problems and needs.	Thus, it is fair to say that both conventional technology and serendipitous technology are stimulated by the realization of problems and needs.
Fix grammaticality in this sentence: If the refrigerator was remained as it was invented in 1910s and no further development has been made to improve its quality, the refrigerator would just be an unsuccessful invention due to its low efficiency and high cost.	If the refrigerator had remained as it was invented in the 1910s and no further development had been made to improve its quality, the refrigerator would just be an unsuccessful invention due to its low efficiency and high cost.
Fix grammar in the sentence: How other people get to know your products and been convinced to use them.	How other people get to know about your products and are convinced to use them.
Remove grammar mistakes: From these two examples above, it is clear that another similarity between conventional technology and serendipitous technology is the process of development and commercialization which involved a lot of hard work.	From these two examples, it is clear that another similarity between conventional technology and serendipitous technology is the process of development and commercialization which involve a lot of hard work.
Fix disfluencies in the sentence: Research is usually based on certain organizations and it requires some time, funds and resources before the researchers can finally obtain the expected results.	Research is usually based in certain organizations, and it requires some time, funds, and resources before the researchers can finally obtain the expected results.
Fix all grammatical errors: This is, in fact, not encouraged by the traditional idea of Chinese people.	This is, in fact, not encouraged by the traditional philosophy of Chinese people.
Fix grammaticality in this sentence: I believe these problems obstructing engineering innovation will be solved in the near future.	Thus, I believe these problems obstructing engineering innovation will be solved in the near future.
Grammar improvements: Understanding the differences and similarities between such a path that inventors take and conventionally generated technologies will help us to better appreciate their efforts & the hardships they had to go through in their endeavours.	Understanding the differences and similarities between such a path that inventors take and conventionally generated technologies will help us to better appreciate their efforts & the hardships they have to go through in their endeavors.
Fix grammaticality in this sentence: These planes are not only a mark of development in speed but also in agility.	These planes are a mark of development not only in speed but also in agility.
Fix grammatical errors: Most importantly, we see that these needs of the military were a driving force behind the development and enhancement of the aircraft.	Most importantly, we see that the needs of the military were a driving force behind the development and enhancement of the aircraft.
Fix the grammatical mistakes: Secondly, social factors guided the growth of planes.	Secondly, social factors have guided the growth of planes.
Fix grammar in the sentence: It is noticeable that the size of commercial planes increased over the years in the response to meet the rise in global travelers.	It is noticeable that the size of commercial planes has increased over the years in response to the rise in global travelers.
Fix grammar errors: These modifications were indeed not possible if not for the varying social as well as military requirements during different eras.	These modifications would indeed not have been possible if not for the varying social as well as military requirements during different eras.
Fix errors in this text: When there is a need for something, a technology is create to solve the problem.	When there is a need for something, technology is created to solve the problem.
Improve the grammaticality: This implies that automobile companies had to pull in large sums of money for research and development work to create and promote the sales of such cars.	This implied that automobile companies had to pull in large sums of money for research and development work to create and promote the sales of such cars.
Fix grammar in the sentence: However the cost to finance this project will be high as much research and development have to be done.	However, the cost to finance this project will be high as much research and development have to be done.
Fix grammaticality: As mentioned, the Inconvenient Truth has shown that there is a direct link between carbon emissions and the rising temperatures of the Earth.	As mentioned, the Inconvenient Truth has shown that there is a direct link between carbon emissions and the rising temperatures of the earth.
Fix grammatical errors in this sentence: There many alternative source of energy can be used and applied in our life, such as solar energy, light energy, wind energy, water power and so on.	There are many alternative sources of energy that can be used and applied in our life, such as solar energy, light energy, wind energy, water power, and so on.
Fix grammar: The 21st century is faced with a severe problem of global energy shortage.	The world in the 21st century is faced with the severe problem of global energy shortage.
Fix disfluencies in the sentence: The rate of energy consumption by human is much higher than what nature is able to produce.	However, the rate of energy consumption by humans is much higher than what nature is able to produce.
Fix grammar: Therefore, the last decade has witnessed the increasing energy price due to insufficient supply of energy.	Therefore, the last decade has witnessed increasing energy prices due to an insufficient supply of energy.
Fix grammatical errors in this sentence: In response to energy shortage, engineers design more efficient products and systems.	In response to energy shortage, engineers are designing more efficient products and systems.
Fix grammar in this sentence: Natural movements such as tide, wind and wave can all be used for generating power.	Natural movements such as the tide, the wind, and the waves can all be used for generating power.
Fix grammaticality of the sentence: It shows that nuclear power may gradually replace traditional oil and petroleum.	This shows that nuclear power may gradually replace traditional oil and petroleum.
Fix errors in this text: Although it seems very optimistic that many potential alternative energy resources can be found, there are, in fact, other economic and social constrains faced by engineers.	Although it seems very optimistic that many potential alternative energy resources can be found, there are, in fact, other economic and social constraints faced by engineers.
Fix disfluencies in the sentence: To conclude, engineering design process can be applied to help solve the current problem of global energy shortage.	To conclude, engineering design processes can be applied to help solve the current problem of global energy shortage.
Fix grammatical errors in this sentence: Technologies are always developed to cater certain needs of people, whether to provide better methods of doing things or to develop tools that facilitate working and living.	Technologies are usually developed to cater to certain needs of people, whether to provide better methods of doing things or to develop tools that facilitate working and living.
Fix grammar: Virtual technology has been designed with a series of unique properties to address the observed social needs by engaging a large user population.	Virtual technology was designed with a series of unique properties to address the observed social needs by engaging a large user population.
Improve the grammaticality of this text: New technologies had made people realize the underlying economic opportunities beyond geographic barriers and national boundaries.	New technologies have made people realize the underlying economic opportunities beyond geographic barriers and national boundaries.
Fix grammaticality of the sentence: Catering to this need, a series of solutions has been developed based on virtual technology.	Catering to this need, a series of solutions have been developed based on virtual technology.
Grammar improvements: Apart from the demands from business and education, other factors have also shaped the development of virtual technology and solutions have been designed to meet the needs.	Apart from the demands from business and education, other factors have also shaped the development of virtual technology, and solutions have been designed to meet these needs.
Fix grammaticality: The development of virtual technology is shaped by social factors such as the business environment, educational needs and military demands.	Thus, the development of virtual technology has been shaped by social factors such as the business environment, educational needs, and military demands.
Fix grammar errors: However, problems inevitably generate and affect the process of innovation due to the improper strategies or methods.	However, problems inevitably arise and affect the process of innovation due to improper strategies or methods.
Fix grammatical errors in this sentence: In other words, these designs are produced without adequate market survey, so they turn out to be unwelcomed among public.	In other words, these designs are produced without adequate market survey, so they turn out to be unwelcomed by the public.
Fix grammar: Though the designs are products of fantastic conception, they become useless as rubbish once out of market.	Though the designs are products of fantastic conception, they become useless like rubbish once booted out of the market.
Fix grammar errors in this sentence: After the policy of reform and opening-up, Chinese government has long been encouraging people to make varieties of innovations.	After China adopted the policy of reform and opening up, the Chinese government has long been encouraging people to make varieties of innovations.
Fix errors in this text: As long as the application documents meet the format, the patent will be approved.	As long as the application documents meet the required format, the patent will be approved.
Update to remove grammar errors: Normally the lawsuits of patent infringement can be settled out of court due to the high cost and complicated procedures.	Normally patent infringement lawsuits can be settled out of court due to the high cost and complicated procedures.
Improve the grammar of this text: As a developing country, now China is facing problems on many fields.	As a developing country, China is now facing problems in many fields.
Remove grammatical mistakes: China's education is typical exam-oriented education.	China's education is a typical exam-oriented education.
Fix grammar errors in this sentence: However, the policy of engineering and industry cannot meet the needs.	However, the policy of engineering and industry cannot meet these needs.
Fix grammar: In the technological age, since independent innovation is very important to a nation's development, society needs the people with innovative talent.	In the technological age, since independent innovation is very important to a nation's development, society needs people with innovative talent.
